"Note: Inserting images over cells in sheets is pretty quirky, so if some of the trainer images on your screen appear misplaced, it's because the sheet couldn't load them all in properly. This visual bug can easily be fixed by refreshing the sheet and slowly scrolling through the part your using, to let each of the trainer images load in properly. If that doesn't work try switching to a different tab (on the bottom), then switching back. - Garrett :)",,,,,,
Youngster Calvin (Route 102),,,,,,
,,,,,,
,Thunder Wave,Attract,Attrack,,,
,Seismic Toss,Water Pulse,Ice Punch,,,
,,,,,,
Psychic Edward (Route 110),,,,,,
,,,,,,
,Slowpoke (m),Exeggcute (m),Abra (m),,,
,Lv. 18 (Hasty),Lv. 18 (Jolly),Lv. 18 (Timid),,,
,Leftovers,None,None,,,
,Oblivious,Chlorophyll (24),Synchronize,,,
,Psychic,Giga Drain,Psychic,,,
,Water Pulse,Stun Spore,Ice Punch,,,
,Slack Off,Psychic,Thunder Punch,,,
,Body Slam,Sludge Bomb,Fire Punch,,,
,,,,,,
Psychic Jaclyn (Route 110),,,,,,
,,,,,,
,Unown,Shuppet (f),Kirlia (f),,,
,Lv. 19 (Impish),Lv. 19 (Hasty),Lv. 19 (Adamant),,,
,Choice Band,None,Sitrus Berry,,,
,Levitate (30),Insomnia,Synchronize,,,
,HP Fight,Psychic,Psybeam,,,
,,Shadow Sneak,Hypnosis,,,
,,Secret Power,Thunder Wave,,,
,,Will-o-Wisp,Will-o-Wisp,,,
,,,,,,
Youngster Timmy (Route 110),,,,,,
,,,,,,
,Kecleon (m),Nuzleaf (m),Lickitung (m),,,
,Lv. 19 (Careful),Lv. 19 (Bold),Lv. 19 (Calm),,,
,None,None,None,,,
,Color Change (18),Chlorophyll (19),Own Tempo (24),,,
,Secret Power,Pursuit,Lick,,,
,Shadow Sneak,Fake Out,Water Pulse,,,
,Aerial Ace,Giga Drain,Cut,,,
,,,,,,
,,,,,,
Collector Edwin (Route 110),,,,,,
,,,,,,
,Chimecho (m),Porygon,Omanyte (m),,,
,Lv. 19 (Impish),Lv. 19 (Modest),Lv. 19 (Calm),,,
,None,None,None,,,
,Levitate,Trace,Swift Swim,,,
,Signal Beam,Tri Attack,Earth Power,,,
,Psybeam,Recover,Aurora Beam,,,
,Recover,Thunder Wave,Waterfall,,,
,Safeguard,Psybeam,Rock Slide,,,
,,,,,,
Guitarist Joseph (Route 110),,,,,,
,,,,,,
,Elekid (m),Lombre (m),Wigglytuff (f),,,
,Lv. 20 (Quiet),Lv. 18,Lv. 19 (Sassy),,,
,None,None,None,,,
,Static (24),Swift Swim (24),Cute Charm (12),,,
,Thunder Punch,Rain Dance,Sing,,,
,Quick Attack,Teeter Dance,Hyper Voice,,,
,Seismic Toss,Water Pulse,Seismic Toss,,,
,,,,,,
,,,,,,
Pokemon Trainer Brendan (Route 110),,,(Check the rival sheet for other starters & genders),,,(Treecko Start)
,,,,,,
,Plusle (m),Pidgeotto (m),Nidorino (m),Bayleef (m),Wartortle (m),Combusken (m)
,Lv. 22 (Brave),Lv. 24 (Sassy),Lv. 24 (Careful),Lv. 24,Lv. 25 (Brave),Lv. 26
,None,None,None,None,None,None
,Plus,Keen Eye,Poison Point,Overgrow,Torrent,Blaze
,Headbutt,Steel Wing,Body Slam,Body Slam,Body Slam,Bulk Up
,Thunder Wave,Quick Attack,Sludge Bomb,Grass Whistle,Fake Out,Fire Punch
,Wild Charge,Secret Power,Drill Run,Giga Drain,Water Pulse,Rock Slide
,Signal Beam,Aerial Ace,Water Pulse,Synthesis,Ice Punch,Brick Break
,,,,,,
Triathlete Alyssa (Route 110),,,,,,
,,,,,,
,Staryu,Magnemite,Doduo (f),,,
,Lv. 20 (Careful),Lv. 20 (Sassy),Lv. 20 (Naive),,,
,Silk Scarf,Metal Coat,Silk Scarf,,,
,Natural Cure,Magnet Pull,Early Bird,,,
,Tri Attack,Tri Attack,Tri Attack,,,
,Bubblebeam,Flash Cannon,Quick Attack,,,
,Recover,Shock Wave,Drill Peck,,,
,Signal Beam,Thunder Wave,Steel Wing,,,
,,,,,,
Pokemon Trainer Wally (Mauville City),,,,,,
,,,,,,
,AI_FLAG:,5,,,,
,Ralts (m),,,,,
,Lv. 70 (Naughty),,,,,
,Oran Berry,,,,,
,Synchronize,,,,,
,Pain Split,,,,,
,Teleport,,,,,
,Encore,,,,,
,Will-o-Wisp,,,,,
,,,,,,
Triathlete Melina (Route 117),,,,,,
,,,,,,
,Ponyta (f),Girafarig (f),Flaafy (f),,,
,Lv. 21 (Relaxed),Lv. 21 (Brave),Lv. 21 (Lonely),,,
,Lum Berry,Cheri Berry,Lum Berry,,,
,,,,,,
,Agility,Agility,Agility,,,
,Baton Pass,Stomp,Thunder Punch,,,
,Flamethrower,Psybeam,Fire Punch,,,
,Iron Tail,Baton Pass,Seismic Toss,,,
,,,,,,
Triathlete Dylan (Route 117),,,,,,
,,,,,,
,Hitmontop (m),Mantine (m),Magnemite,,,
,Lv. 20 (Lonely),Lv. 20 (Timid),Lv. 21 (Quiet),,,
,Cheri Berry,Cheri Berry,Metal Coat,,,
,Intimidate (0),Swift Swim,Magnet Pull,,,
,Agility,Agility,Agility,,,
,Rolling Kick,Bubblebeam,Wild Charge,,,
,Fake Out,Air Slash,Sonic Boom,,,
,Secret Power,Aurora Beam,Flash Cannon,,,
,,,,,,
Sr. & Jr. Anna & Meg (Route 117),,,,,,
,,,,,,
,Gligar (m),Gastly (m),Noctowl (m),Baltoy,,
,Lv. 21 (Timid),Lv. 22 (Sassy),Lv. 20 (Impish),Lv. 22 (Mild),,
,Choice Band,Spell Tag,Leftovers,Choice Band,,
,Hyper Cutter,Levitate,Insomnia,Levitate,,
,Magnitude,Shadow Ball,Reflect,Earthquake,,
,,Sludge Bomb,Hypnosis,,,
,,Shadow Sneak,Aerial Ace,,,
,,Night Shade,Secret Power,,,
,,,,,,
Battle Girl Aisha (Route 117),,,,,,
,,,,,,
,Meowth (f),Meditite (f),Delcatty (f),,,
,Lv. 22 (Adamant),Lv. 22,Lv. 22,,,
,Silk Scarf,Black Belt,Sitrus Berry,,,
,Limber,Pure Power,Cute Charm,,,
,Fake Out,Fake Out,Attract,,,
,Assist,Rock Smash,Assist,,,
,Slash,Secret Power,Secret Power,,,
,Water Pulse,Rock Tomb,Thunder Wave,,,
,,,,,,
Pokemon Breeder Lydia (Route 117),,,,,,
,,,,,,
,Gloom (f),Azumarill (f),Chansey (f),,,
,Lv. 22 (Impish),Lv. 21 (Mild),Lv. 22 (Naive,,,
,Sitrus Berry,Sitrus Berry,Lucky Punch,,,
,Chlorophyll,Huge Power (24),Natural Cure,,,
,Sleep Powder,Water Pulse,Double-Edge,,,
,Sludge Bomb,Rollout,Brick Break,,,
,Razor Leaf,Ice Punch,Softboiled,,,
,Moonlight,Belly Drum,Water Pulse,,,
,,,,,,
Pokemon Breeder Isaac (Route 117),,,,,,
,,,,,,
,Cubone (m),Weepinbell (m),Ditto,,,
,Lv. 23 (calm),Lv. 23 (Lonely),Lv. 20 (Quiet),,,
,Thick Club,Silk Scarf,Leppa Berry,,,
,Rock Head,Chlorophyll,Shadow Tag (0),,,
,Bone Rush,Razor Leaf,Transform,,,
,Double-Edge,Sludge Bomb,,,,
,Aerial Ace,Secret Power,,,,
,Rock Tomb,Stun Spore,,,,
,,,,,,
Psychic Brandi (Route 117),,,,,,
,,,,,,
,Unown,Kirlia (f),Chimecho (f),,,
,Lv. 23,Lv. 23 (Gentle),Lv. 22 (Quiet),,,
,Choice Band,Cheri Berry,None,,,
,Levitate (29),Synchronize,Levitate,,,
,HP Dark,Psybeam,Recover,,,
,,Magical Leaf,Psybeam,,,
,,Shock Wave,Secret Power,,,
,,Hypnosis,Thunder Wave,,,
,,,,,,
Triathlete Maria (Route 117),,,,,,
,,,,,,
,Rhyhorn (f),Seel (f),Linoone (f),,,
,Lv. 24 ,Lv. 24 (Quiet),Lv. 22 (Modest),,,
,Salac Berry,Never Melt Ice,Leftovers,,,
,Lightning Rod,Thick Fat,Guts,,,
,Rock Slide,Ice Shard,Swift,,,
,Earthquake,Waterfall,Rock Smash,,,
,Megahorn,Body Slam,Mud-Slap,,,
,Endure,Aurora Beam,Snore,,,
,,,,,,
Bug Maniac Derek (Route 117),,,,,,
,,,,,,
,Pineco (m),Masquerain (m),Ariados (m),,,
,Lv. 23 (Quiet),Lv. 23 (Careful),Lv. 23,,,
,Sitrus Berry,Sitrus Berry,Leftovers,,,
,Rough Skin,Intimidate,Insomnia,,,
,Signal Beam,Water Pulse,Signal Beam,,,
,Self Desruct,Aurora Beam,Shadow Sneak,,,
,Giga Drain,Giga Drain,Giga Drain,,,
,Spikes,Mud Shot,Sludge Bomb,,,
,,,,,,
Lady Vivian (Mauville Gym),,,,,,
,,,,,,
,Wigglytuff (f),Pikachu (f),Shuppet (f),Togetic (m),Flaaffy (f),
,Lv. 25 (Naughty),Lv. 27 (Jolly),Lv. 26 (Jolly),Lv. 25 (Relaxed),Lv. 27 (Rash),
,Leftovers,Light Ball,Sitrus Berry,Leftovers,Lum Berry,
,Cute Charm,Static,Insomnia,Serene Grace,Static,
,Thunder Wave,Surf,Thunder Wave,Thunder Wave,Thunder Wave,
,Thunderbolt,Thunderbolt,Shadow Ball,Softboiled,Thunderbolt,
,Water Pulse,Seismic Toss,Night Shade,Seismic Toss,Seismic Toss,
,Headbutt,Quick Attack,Double-Edge,Water Pulse,Fire Punch,
,,,,,,
Guitarist Kirk (Mauville Gym),,,,,,
,,,,,,
,Voltorb,Loudred (m),Elekid (m),Golbat (m),Ludicolo (m),
,Lv. 27 (Bold),Lv. 26,Lv. 27,Lv. 26,Lv. 25 (Relaxed),
,Lum Berry,Lum Berry,Lum Berry,Lum Berry,Magnet,
,Static,Vital Spirit,Static,Inner Focus,Swift Swim,
,Thunder Wave,Hyper Voice,Seismic Toss,Confuse Ray,Water Pulse,
,Thunderbolt,Ice Beam,Thunderbolt,Giga Drain,Thunder Pench,
,Explosion,Water Pulse,Ice Punch,Sludge Bomb,Razor Leaf,
,Sonic Boom,Flamethrow,Fire Punch,Heat Wave,Teeter Dance,
,,,,,,
Fisherman Ben (Mauville Gym),,,,,,
,,,,,,
,Staryu,Chinchou (m),Dragonair (m),Qwilfish (m),Octillery (m),
,Lv. 27 (Bold),Lv. 27 ,Lv. 26 (Impish),Lv. 26 (Adamant),Lv. 26 (Timid),
,Lum Berry,Lum Berry,Magnet,Poison Barb,Soft Sand,
,Natural Cure,Volt Absorb ,Shed Skin,Swift Swim,Suction Cups,
,Thunder Wave,Thunder Wave,Thunder Wave,Thunder Wave,Thunder Wave,
,Thunderbolt,Ice Beam,Dragon Breath,Waterfall,Water Pulse,
,Waterfall,Thunderbolt,Water Pulse,Acid,Signal Beam,
,Ice Beam,Surf,Shock Wave,Headbutt,Mud Shot,
,,,,,,
Bug Maniac Angelo (Mauville Gym) (Double Battle),,,,,,
,,,,,,
,Plusle (m),Minun (m),Volbeat (m),Illumise (f),Dunsparce (m),
,Lv. 27 (Naughty),Lv. 27 (Bold),Lv. 27 ,Lv. 27 (Sassy),Lv. 26 (Quiet),
,Silver Powder,Lum Berry,Lum Berry,Lum Berry,Black Glasses,
,Plus,Minus,Swarm,Oblivious,Serene Grace,
,Thunder,Reflect,Signal Beam,Flatter,Bite,
,Thunderbolt,Thunderbolt,Giga Drain,Giga Drain,Rock Slide,
,Seismic Toss,Thunder Wave,Thunder Wave,Thunder Wave,Thunder Wave,
,Signal Beam,Rain Dance,Confuse Ray,Water Pulse,Headbutt,
,,,,,,
Collector Shawn (Mauville Gym),,,,,,
,,,,,,
,Koffing (m),Electrode ,Porygon,Kadabra (m),Magneton,
,Lv. 27 (Lonely),Lv. 27 ,Lv. 27 (Naughty),Lv. 26 (Naive),Lv. 27 (Gentle),
,Chesto Berry,Liechi Berry,Lum Berry,Magnet,Metal Coat,
,Levitate,Static,Trace,Synchronize,Magnet Pull,
,Thunderbolt,Sonic Boom,Thunderbolt,Thunder Punch,Wild Charge,
,Sludge Bomb,Thunder Wave,Thunder Wave,Thunder Wave,Thunder Wave,
,Flamethrower,Wild Charge,Ice Beam,Psybeam,Sonic Boom,
,Self Destruct,Self Destruct,Recover,Seismic Toss,Flash Cannon,
,,,,,,
Leader Watson,,,,,,
,,,,,,
,Jolteon (m),Lanturn (m),Ampharos (m),Raichu (m),Electabuzz (m),Manectric (m)
,Lv. 28 (Adamant),Lv. 28 ,Lv. 29 (Relaxed),Lv. 28 (Sassy),Lv. 28 (Quiet),Lv. 29 (Hasty)
,Lum Berry,Leftovers,Leftovers,Lum Berry,Lum Berry ,Lum Berry
,Static,Volt Absorb,Static,Static,Static,Intimidate
,Thunder Wave,Thunder Wave,Thunder Wave,Thunder Wave,Psychic,Thunder Wave
,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt
,HP Grass,Ice Beam,HP Grass,Body Slam,Ice Punch,Crunch
,Bite,Surf,Fire Punch,Body Slam,Fire Punch,Flamethrower
,,,,,,
Hiker Marc (Route 111),,,,,,
,,,,,,
,Golbat (m),Graveler (m),Clefairy (f),,,
,Lv. 23 (Mild),Lv. 25 (Naive),Lv. 24 (Impish),,,
,Cheri Berry,Lum Berry,Sitrus Berry,,,
,Inner Focus,Rock Head,Cute Charm,,,
,Confuse Ray,Rock Slide,Tri Attack,,,
,Aerial Ace,Earthquake,Ice Beam,,,
,Sludge Bomb,Self Destruct,Flamethrower,,,
,Super Fang,Secret Power,Thunderbolt,,,
,,,,,,
Picknicker Bianca (Route 111) (Double Battle w/ Hayden),,,,,,
,,,,,,
,Ivysaur (m),Wartortle (m),,,,
,Lv. 24 (Careful),Lv. 24 (Timid),,,,
,None,None,,,,
,Overgrow,Torrent,,,,
,Sleep Powder,Water Pulse,,,,
,Giga Drain,Ice Punch,,,,
,Sludge Bomb,Secret Power,,,,
,,,,,,
,,,,,,
Kindler Hayden (Route 111) (Double Battle w/ Bianca),,,,,,
,,,,,,
,Charmeleon (m),,,,,
,Lv. 25 (Careful),,,,,
,Lum Berry,,,,,
,Blaze,,,,,
,Dragon Rage,,,,,
,Flamethrower,,,,,
,Secret Power,,,,,
,Protect,,,,,
,,,,,,
Camper Tyron (Route 111) (Double Battle w/ Celina),,,,,,
,,,,,,
,Poliwhirl (m),,,,,
,Lv. 27 (Rash),,,,,
,Never-Melt-Ice,,,,,
,Swift Swim,,,,,
,Hypnosis,,,,,
,Blizard,,,,,
,Protect,,,,,
,Hydro Pump,,,,,
,,,,,,
Aroma Lady Celina (Route 111) (Double Battle w/ Tyron),,,,,,
,,,,,,
,Skiploom (f),Butterfree (f),Gloom (f),,,
,Lv. 25 ,Lv. 25 (Impish),Lv. 26 (Calm),,,
,None,None,None,,,
,Chlorophyll,Compound Eyes,Chlorophyll,,,
,Sweet Scent,Sweet Scent,Sweet Scent,,,
,Sleep Powder,Sleep Powder,Sleep Powder,,,
,Aerial Ace,Supersonic,Sludge Bomb,,,
,,,,,,
,,,,,,
Picknicker Irene (Route 111) (Double Battle w/ Travis),,,,,,
,,,,,,
,Bayleef,Quilava,Croconaw,,,
,Lv. 25 (Naughty),Lv. 25,Lv. 25 (Mild),,,
,Leftovers,Silk Scarf,Mystic Water,,,
,Overgrow,Blaze,Torrent,,,
,Light Screen,Flame Wheel,Water Pulse,,,
,Reflect,Quick Attack,Aerial Ace ,,,
,Giga Drain,Protect,Protect,,,
,Protect,Secret Power,Crunch,,,
,,,,,,
Camper Travis (Route 111) (Double Battle w/ Irene),,,,,,
,,,,,,
,Vigoroth (m),,,,,
,Lv. 26 (Adamant),,,,,
,Choice Band,,,,,
,Vital Spirit,,,,,
,Uproar,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Team Magma Grunt #1 (S Route 112),,,,,,
,,,,,,
,Haunter (f),Flareon (m),Kadabra (m),Cacturne (f),,
,Lv. 26 (Naive),Lv. 27,Lv. 26,Lv. 27 (Timid),,
,Scope Lens,Scope Lens,Scope Lens,Scope Lens,,
,Levitate,Flame Body,Synchronize,Sand Veil,,
,Hypnosis,Will-o-Wisp,Fire Punch,Magical Leaf,,
,Shadow Ball,Flamethrower,Signal Beam,Faint Attack,,
,Giga Drain,Quick Attack,Extrasensory,Revenge,,
,Thunderbolt,Shadow Ball,Ice Punch,Sleep Talk,,
,,,,,,
Team Magma Grunt #2 (S Route 112),,,,,,
,,,,,,
,Dugtrio (f),Magneton ,Absol (f),Ninetales (f),,
,Lv. 26 ,Lv. 26 (Adamant),Lv. 27 ,Lv. 27 (Timid),,
,King's Rock,Scope Lens,Bright Powder,None,,
,Arena Trap,Magnet Pull,Pressure,Pressure,,
,Aerial Ace,Thunderbolt,Bite,Will-o-Wisp,,
,Dig,Self Destruct,Will-o-Wisp,Bite,,
,Rock Tomb,Flash Cannon,Quick Attack,Extrasensory,,
,Tri Attack,Thunder Wave,Aerial Ace,Confuse Ray,,
,,,,,,
Hiker Trent (S Route 112),,,,,,
,,,,,,
,Graveler (m),Furret (m),Machoke (m),Onix (m),,
,Lv. 28 (Lax),Lv. 26 ,Lv. 28 (Modest),Lv. 29,,
,Focus Band,Silk Scarf,Chesto Berry,Focus Band,,
,Rock Head,Early Bird,Guts,Rock Head,,
,Earthquake,Shadow Ball,Vital Throw,Earthquake,,
,Rock Slide,Super Power,Rock Slide,Rock Slide,,
,Double-Edge,Secret Power,Secret Power,Double Edge,,
,,Brick Break,Facade,Explosion,,
,,,,,,
Team Magma Grunt #3 (S Route 112),,,,,,
,,,,,,
,Golbat (m),Shelgon (m),Mightyena (m),Metang ,Pupitar (m),
,Lv. 27 (Lax),Lv. 27 (Hasty),Lv. 27 (Brave),Lv. 27,Lv. 29 (Gentle),
,Scope Lens,Shell Bell,Shell Bell,Scope Lens,Choice Band,
,Inner Focus,Rock Head,Intimidate,Clear Body,Shed Skin,
,Hypnosis,Dragon Breath,Shadow Ball,Psychic,Earthquake,
,Heat Wave,Flamethrower,Iron Tail,Metal Claw,Rock Slide,
,Giga Drain,Dragon Rage,Poison Fang,Rock Tomb,,
,Shadow Ball,Body Slam,Super Fang,Brick Break,,
,,,,,,
Team Magma Grunt #4 (N Route 112),,,,,,
,,,,,,
,Magmar (m),Ariados (m),Hariyama (m),Smeargle (m),,
,Lv. 29 (Timid),Lv. 28 (Lax),Lv. 27 (Adamant),Lv. 30 (Gentle),,
,Scope Lens,Lum Berry,Scope Lens,Sitrus Berry,,
,Flame Body,Insomnia,Thick Fat,Own Tempo,,
,Fire Punch,Signal Beam,Fake Out,Sacred Fire,,
,Brick Break,Slude Bomb,Force Palm,Aeroblast,,
,Will-o-Wisp,Giga Drain,Rock Slide,Extremespeed,,
,Secret Power,Shadow Sneak,Body Slam,Muddy Water,,
,,,,,,
Team Magma Grunt #5 (N Route 112),,,,,,
,,,,,,
,Venomoth (f),Magcargo (f),Vibrava (f),Dunsparce (f),Arbok (f),
,Lv. 27 (Bold),Lv. 30 (Impish),Lv. 29 (Bold),Lv. 27 (Modest),Lv. 27,
,Lum Berry,Quick Claw,King's Rock,Leftovers,King's Rock,
,Shield Dust,Flame Body,Levitate,Serene Grace,Intimidate,
,Stun Spore,Explosion,Mud Shot,Glare,Glare,
,Signal Beam,Overheat,Dragon Breath,Headbutt,Sludge Bomb,
,Psychic,Rock Slide,Giga Drain,Rock Slide,Earthquake,
,Giga Drain,Earthquake,Signal Beam,Bite,Giga Drain,
,,,,,,
Black Belt Daisuke (Route 111) (Double Battle w/ Brooke),,,,,,
,,,,,,
,Hitmontop (m),Hitmonchan (m),Hitmonlee (m),,,
,Lv. 29 (Quiet),Lv. 29 (Naive),Lv. 29 (Gentle),,,
,Hard Stone,Spell Tag,Silk Scarf,,,
,Intimidate,Guts,Limber,,,
,Fake Out,Mach Punch,Fake Out,,,
,Mach Punch,Brick Break,Hi Jump Kick,,,
,Detect,Rock Tomb,Mega Kick,,,
,Rock Tomb,Shadow Punch,Detect,,,
,,,,,,
Cooltrainer Brooke (Route 111) (Double Battle w/ Daisuke),,,,,,
,,,,,,
,Skarmory (f),Miltank (f),Quagsire (f),,,
,Lv. 30 (Timid),Lv. 30 (Rash),Lv. 30 (Gentle),,,
,Leftovers,Lum Berry,Leftovers,,,
,Keen Eye,Thick Fat,Water Absorb,,,
,Spikes,Attract,Mud Shot,,,
,Drill Peck,Milk Drink,Muddy Water,,,
,Flash Cannon,Body Slam,Sludge Bomb,,,
,Whirlwind,Brick Break,Protect,,,
,,,,,,
Pokemaniac Wyatt (Route 113),,,,,,
,,,,,,
,Lairon (m),Grovyle (m),Lickitung (m),,,
,Lv. 32 (Timid),Lv. 33 (Timid),Lv. 32 (Naughty),,,
,Metal Coat,Dragon Fang,Chesto Berry,,,
,Rock Head,Overgrow,Own Tempo,,,
,Iron Tail,Giga Drain,Flamethrower,,,
,Double-Edge,Crunch,Ice Beam,,,
,Rock Slide,Dragon Breath,Thunderbolt,,,
,Earthquake,Quick Attack,Body Slam,,,
,,,,,,
Dragon Tamer Lawrence (Route 113),,,,,,
,,,,,,
,Vibrava (m),Shelgon (m),Dragonair (m),,,
,Lv. 32,Lv. 32,Lv. 32 (Careful),,,
,Dragon Fang,Dragon Fang,Dragon Fang,,,
,Levitate,Rock Head,Shed Skin,,,
,Quick Attack,Double-Edge,Thunder Wave,,,
,Mud Shot,Dragon Claw,Secret Power,,,
,Dragon Breath,Crunch,Dragon Breath,,,
,Giga Drain,Dragon Rage,Dragon Rage,,,
,,,,,,
Ninja Boy Lung (Route 113),,,,,,
,,,,,,
,Ninjask (m),Koffing (m),Kecleon (m),Venomoth (m),,
,Lv. 32 (Naughty),Lv. 34 ,Lv. 32 (Brave),Lv. 33 (Modest),,
,Lum Berry,Lum Berry,Leftovers,Lum Berry,,
,Speed Boost,Levitate,Color Change,Shield Dust,,
,Aerial Ace,Sludge Bomb,Flamethrower,Slude Bomb,,
,Swords Dance,Explosion,Ice Punch,Sleep Powder,,
,Baton Pass,Shadow Ball,Shadow Ball,Signal Beam,,
,Silver Wind,Secret Power,Secret Power,Steel Wing,,
,,,,,,
Youngster Dillon (Route 113),,,,,,
,,,,,,
,Raticate (m),Spinda (m),Azumarill (m),,,
,Lv. 33 ,Lv. 34 (Lax),Lv. 31 (Careful),,,
,Silk Scarf,Twisted Spoon,Mystic Water,,,
,Guts,Own Tempo,Huge Power,,,
,Quick Attack,Teeter Dance,Water Pulse,,,
,Crunch,Psychic,Body Slam,,,
,Secret Power,Secret Power,Ice Punch,,,
,Super Fang,Brick Break,Brick Break,,,
,,,,,,
Twins Tori & Tia (Route 113) (Double Battle),,,,,,
,,,,,,
,Smeargle (m),Smeargle (m),,,,
,Lv. 35 (Calm),Lv. 35,,,,
,Sharp Beak,Lum Berry,,,,
,Own Tempo,Own Tempo,,,,
,Teeter Dance,Spore,,,,
,Dragon Rage,Dragon Rage,,,,
,Extreme Speed,Super Fang,,,,
,Nightmare,Aeroblast,,,,
,,,,,,
Picknicker Sophie (Route 113),,,,,,
,,,,,,
,Slaking (f),Drowzee (f),Parasect (f),,,
,Lv. 36 (Careful),Lv. 34 (Naive),Lv. 35,,,
,Leppa Berry,Silver Powder,Focus Band,,,
,Truant,Insomnia,Effect Spore,,,
,Solarbeam,Hypnosis,Spore,,,
,,Psychic,Giga Drain,,,
,,Signal Beam,Signal Beam,,,
,,Fire Punch,Brick Break,,,
,,,,,,
Bird Keeper Coby (Route 113),,,,,,
,,,,,,
,Fearow (m),Noctowl (m),Pidgeot (m),,,
,Lv. 33 ,Lv. 34 (Relaxed),Lv. 34 (Lax),,,
,Silk Scarf,Leftovers,Silk Scarf,,,
,Early Bird,Insomnia,Early Bird,,,
,Aerial Ace,Hypnosis,Quick Attack,,,
,Steel Wing,Psychic,Air Slash,,,
,Quick Attack,Faint Attack,Steel Wing,,,
,Secret Power,Light Screen,Secret Power,,,
,,,,,,
Ninja Boy Lao (Route 113),,,,,,
,,,,,,
,Shedinja ,Shuckle (m),Golbat (m),,,
,Lv. 36,Lv. 33 (Brave),Lv. 34,,,
,Lum Berry,Leftovers,Lum Berry,,,
,Wonder Guard,Shell Armor,Inner Focus,,,
,Shadow Sneak,Protect,Protect,,,
,Signal Beam,Wrap,Confuse Ray,,,
,Giga Drain,Rest,Shadow Ball,,,
,Toxic,Toxic,Toxic,,,
,,,,,,
Parasol Lady Madeline (Route 113),,,,,,
,,,,,,
,Numel (f),Seaking (f),Tropius (f),,,
,Lv. 36 (Gentle),Lv. 34 (Timid),Lv. 33 (Hasty),,,
,Soft Sand,Cheri Berry,Lum Berry,,,
,Oblivious,Swift Swim,Chlorophyll,,,
,Earthquake,Rain Dance,Earthquake,,,
,Flamethrower,Waterfall,Sunny Day,,,
,Protect,Ice Beam,Giga Drain,,,
,Body Slam,Secret Power,Air Slash,,,
,,,,,,
Pokemon Trainer Red (Route 113),,,,,,
,,,,,,
,Pikachu (m),Espeon (m),Snorlax (m),Blastoise (m),Venusaur (m),Charizard (m)
,Lv. 37 (Sassy),Lv. 36 (Sassy),Lv. 36,Lv. 36 (Adamant),Lv. 36 (Quiet),Lv. 36
,Light Ball,Lum Berry,Leftovers,Lum Berry,Lum Berry,Lum Berry
,Static,Synchronize,Guts,Torrent,Chlorophyll,Blaze
,Volt Tackle,Reflect,Curse,Surf,Sleep Powder,Flamethrower
,Surf,Psychic,Snore,Yawn,Giga Drain,Aerial Ace
,HP Ice,Bite,Earthquake,Ice Beam,Sludge Bomb,Dragon Claw
,Sing,Signal Beam,Rest,Mirror Coat,Synthesis,Earthquake
,,,,,,
Pokemaniac Steve (Route 114),,,,,,
,,,,,,
,Rhydon (m),Kangaskhan (f),Nidoqueen (f),,,
,Lv. 36 (Quiet),Lv. 34 (Bold),Lv. 35 (Naughty),,,
,Focus Band,None,Blackglasses,,,
,Lightning Rod,Early Bird,Poison Point,,,
,Drill Run,Fake Out,Drill Run,,,
,Double-Edge,Brick Break,Poison Fang,,,
,Rock Slide,Secret Power,Crunch ,,,
,Body Slam,Shadow Ball,Surf,,,
,,,,,,
Sr. and Jr. Tyra & Ivy (Route 114) (Double Battle),,,,,,
,,,,,,
,Swellow (m),Linoone (m),,,,
,Lv. 35 (Gentle),Lv. 35 (Naive),,,,
,Leftovers,Leftovers,,,,
,Guts,Guts,,,,
,Toxic,Toxic,,,,
,Facade,Facade,,,,
,Steel Wing,Shadow Ball,,,,
,Aerial Ace,Iron Tail,,,,
,,,,,,
Kindler Bernie (Route 114),,,,,,
,,,,,,
,Shiftry (m),Flareon (m),Pelipper (m),,,
,Lv. 33 (Quiet),Lv. 35 (Rash),Lv. 34,,,
,Blackglasses,Shell Bell,Magnet,,,
,Chlorophyll,Flame Body,Swift Swim,,,
,Giga Drain,Flamethrower,Air Slash,,,
,Faint Attack,Quick Attack,Surf,,,
,Fake Out,Shadow Ball,Shock Wave,,,
,Brick Break,Iron Tail,Quick Attack,,,
,,,,,,
Team Magma Grunt #1 (Route 114),,,,,,
,,,,,,
,Weezing (f),Magneton,Rapidash (f),Bellossom (f),,
,Lv. 35 (Lonely),Lv. 36 (Careful),Lv. 36 (Quiet),Lv. 35 ,,
,Leftovers,Focus Band,King's Rock,Leftovers,,
,Levitate,Magnet Pull,Flame Body,Chlorophyll,,
,Sludge Bomb,Explosion,Flamethrower,Sleep Powder,,
,Will-o-Wisp,Thunderbolt,Megahorn,Giga Drain,,
,Shadow Ball,Thundre Wave,Drill Run,Synthesis,,
,Flamethrower,Signal Beam,Quick Attack,Double-Edge,,
,,,,,,
Team Magma Grunt #2 (Route 114),,,,,,
,,,,,,
,Exploud (f),Marowak (f),Altaria (f),Vileplume (f),,
,Lv. 35,Lv. 36 (Jolly),Lv. 35 (Relaxed),Lv. 35 (Lonely),,
,Scope Lens,Lum Berry,Leftovers,King's Rock,,
,Vital Spirit,Rock Head,Natural Cure,Chlorophyll,,
